Spec Name,Sn,Ag,Cu,Pb,Al,As,Bi,Cd,Fe,Sb,Zn,Au,In,Ni,Ge,P,S,Ni + CO,Sn+Sb,Remark,Remark2,
KOKI SPECIFICATION [500],99.90 Min,0.01,0.04,0.05,0.001,0.03,0.03,0.001,0.01,0.04,0.001,,,,,,0.01,0.01,,Tin ingot 99.90,,
KOKI SPECIFICATION [50],99.90 Min,0.01,0.04,0.005,0.001,0.03,0.03,0.001,0.01,0.04,0.001,,,,,,0.01,0.01,,,,
SPEC SSb007,Balance,0.01,0.04,0.05,0.001,0.03,0.03,0.001,0.01,0.07+0.01,0.001,,,,,,,,,0-SSb007,,
SPEC SSC0805,,,,,,,,,,,,,,,,,,,,,,
KOKI SPECIFICATION 99.99%,99.99 Min,,0.002,0.003,,0.001,,,0.003,0.002,,,,,,,,,,,,
BAR SCN3002,Balance,0.1,3.0+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.25+0.1,,,,,,,,
J-STD-006C SAC0307 [SVI],Reminder,0.3+0.05,0.7+0.05,0.02,0.002,0.03,0.03,0.002,0.02,0.04,0.001,0.005,,0.01,,,,,,ETB SAC0307 SVI,,
J-STD006C SAC0300 [SVI],Reminder,0.3+0.05,0.03,0.02,0.002,0.03,0.03,0.002,0.02,0.04,0.001,0.005,,0.01,,,,,,ETB SA03 SVI,,
JIS Z 3282-2006 Sn95Cu4Ag1,Balance,0.8-1.2,3.5-4.5,0.05,0.001,0.03,0.08,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,Bar SAC1040,,
JIS Z 3282-2006 Sn95Sb5,Balance,0.1,0.05,0.05,0.001,0.03,0.1,0.002,0.02,4.5-5.5,0.001,0.05,0.1,0.01,,,,,,Bar SSb5,,
JIS Z 3282-2006 Sn96Cu4,Balance,0.1,3.5-4.5,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,,,,,,,Bar SC4,,
JIS Z 3282-2006 Sn97Cu3,Reminder,0.1,3.0+0.5,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,ETB SC3,,
JIS Z 3282-2006 Sn99.3Cu07,Reminder,0.1,0.7+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.05+0.03,0.001,,,,,301-SC07,,
JIS Z 3282-2006 Sn99Cu0.7Ag0.3,Reminder,0.3+0.1,0.7+0.2,0.05,0.001,0.03,0.06,0.002,0.02,0.1,0.001,0.05,0.1,0.1,,,,,,ETB SAC0307,,
JIS Z 3282-2017 C7Ni,Reminder,0.1,0.7+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.05+0.03,0.001,,,,,301-SC07,,
SPEC SA03,Balance,0.2-0.4,0.05,0.05,0.001,0.03,0.06,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,ETB SA03,,
SPEC SA1,Balance,1.0+0.2,0.05,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,ETB SA1,,
SPEC SAC1005,Balance,1.0+0.2,0.5+0.05,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,,,
